raw_value_1,raw_value_2,raw_value_3,raw_value_4,collision_predicted,collision_orientation_predicted,collision_displacement_predicted,uav_pose_x,uav_pose_y,uav_pose_z,uav_q_w,uav_q_x,uav_q_y,uav_q_z,pipe_pose_x,pipe_pose_y,pipe_pose_z,pipe_q_w,pipe_q_x,pipe_q_y,pipe_q_z
678.4000244140625,777.0999755859375,789.7999877929688,722.4000244140625,0.0,6.448786735534668,0.0026591718196868896,0.005209799290405672,-0.0020572143121515146,0.2489126374739624,-0.999999940485667,0.00025825892883480343,7.57397761672778e-06,-0.00022863425637566594,3.744065197849108,0.1517843635032204,1.3266347138584036,0.9957864332051303,0.038016969090479816,-0.0457759898992153,0.06977569959896587
682.2999877929688,780.0999755859375,789.7999877929688,720.4000244140625,0.0,38.85020446777344,0.028104513883590698,0.004921265765775611,-0.0017363278072703343,0.24851460563370134,-0.9999996795758643,-0.00015037768399046598,-0.000508485619409658,-0.0005997308529044682,3.744065197849108,0.1517843635032204,1.3266347138584036,0.9957864332051303,0.038016969090479816,-0.0457759898992153,0.06977569959896587
681.2999877929688,779.0999755859375,788.9000244140625,719.5,0.0,41.84810256958008,0.03469625115394592,0.005076999680554648,-0.0018699934486947896,0.24869347333556455,-0.9999999292217825,2.897690463304122e-06,0.00010403657125388047,-0.0003615583293497076,3.744065197849108,0.1517843635032204,1.3266347138584036,0.9957864332051303,0.038016969090479816,-0.0457759898992153,0.06977569959896587
682.2999877929688,777.0999755859375,789.7999877929688,721.4000244140625,0.0,4.142666339874268,0.0010642707347869873,0.00495449891634613,-0.0018399550445074946,0.2485858393248602,-0.999999619998097,-0.0001439732873284319,-0.0005286744753332653,-0.0006780697997707678,3.744065197849108,0.1517843635032204,1.3266347138584036,0.9957864332051303,0.038016969090479816,-0.0457759898992153,0.06977569959896587
682.2999877929688,780.0999755859375,788.9000244140625,720.4000244140625,0.0,47.26947784423828,0.04978521168231964,0.0052095028668125865,-0.002066828677362005,0.24884009279103633,-0.9999998986990922,-0.00012717535648255082,3.500965632124292e-05,-0.00043035166815604204,3.744065197849108,0.1517843635032204,1.3266347138584036,0.9957864332051303,0.038016969090479816,-0.0457759898992153,0.06977569959896587
681.2999877929688,779.0999755859375,788.9000244140625,720.4000244140625,0.0,34.56388854980469,0.026919886469841003,0.004964713102526332,-0.0018632281828033432,0.24849259521110376,-0.9999994574819863,-0.00011844001103039322,-0.0006923215339681376,-0.0007692194683888204,3.744065197849108,0.1517843635032204,1.3266347138584036,0.9957864332051303,0.038016969090479816,-0.0457759898992153,0.06977569959896587
683.2999877929688,779.0999755859375,789.7999877929688,720.4000244140625,0.0,22.610204696655273,0.007255777716636658,0.0049037763278028355,-0.0017307041207204048,0.24850053519069482,-0.9999995252085578,2.305129943738879e-05,-0.0005172519400836078,-0.000825531178904227,3.744065197849108,0.1517843635032204,1.3266347138584036,0.9957864332051303,0.038016969090479816,-0.0457759898992153,0.06977569959896587
680.4000244140625,779.0999755859375,788.9000244140625,722.4000244140625,0.0,20.492023468017578,0.013963580131530762,0.004911938684326467,-0.0017403625975968427,0.24845449172067774,-0.9999994303812101,-0.00023406823326459924,-0.000659438870454263,-0.0008059712734180493,3.744065197849108,0.1517843635032204,1.3266347138584036,0.9957864332051303,0.038016969090479816,-0.0457759898992153,0.06977569959896587
680.4000244140625,779.0999755859375,788.9000244140625,720.4000244140625,0.0,36.341548919677734,0.029354676604270935,0.004948594155008016,-0.0018580126292558042,0.24850257887479207,-0.9999994012301092,-0.000268615846005354,-0.0008075073757100181,-0.0006879802239244021,3.744065197849108,0.1517843635032204,1.3266347138584036,0.9957864332051303,0.038016969090479816,-0.0457759898992153,0.06977569959896587
680.4000244140625,779.0999755859375,787.9000244140625,718.5,0.0,51.43054962158203,0.049431607127189636,0.004940332072466815,-0.001809792451399184,0.24842923896449587,-0.9999994547976493,-0.00025607031661984987,-0.0007468197910509088,-0.0006834417289514354,3.744065197849108,0.1517843635032204,1.3266347138584036,0.9957864332051303,0.038016969090479816,-0.0457759898992153,0.06977569959896587
