Model,MAE,Std Dev,Median,IQR,Max,MAE angle,Angle Std Dev,Angle Median,Angle IQR,Angle Max
FFNNDiff_2NN_bs32_ep50_32_64,,,,,,0.7294990098169876,2.35,0.43,0.49,39.45
FFNNRaw_2NN_bs32_ep50_32_64,,,,,,0.975121321659535,0.8,0.81,0.95,6.18
