694.0,785.9,801.6,761.5
694.0,784.0,799.6,762.5
694.0,783.0,803.5,762.5
694.0,787.9,803.5,761.5
694.0,784.9,803.5,763.4
694.0,784.9,801.6,762.5
691.1,786.9,801.6,763.4
693.1,788.9,800.6,759.5
695.0,787.9,802.5,762.5
696.0,789.8,804.5,764.4
697.9,791.8,802.5,760.5
695.0,791.8,803.5,761.5
696.0,789.8,804.5,762.5
694.0,787.9,803.5,761.5
694.0,786.9,804.5,763.4
693.1,786.9,802.5,761.5
694.0,784.0,799.6,760.5
697.0,785.9,802.5,762.5
697.0,788.9,802.5,761.5
694.0,784.9,800.6,761.5
693.1,784.0,800.6,762.5
693.1,784.0,800.6,761.5
694.0,786.9,802.5,762.5
696.0,786.9,803.5,762.5
695.0,784.9,800.6,761.5
694.0,786.9,801.6,762.5
694.0,790.8,802.5,761.5
692.1,787.9,802.5,763.4
695.0,786.9,803.5,762.5
697.0,789.8,803.5,764.4
695.0,788.9,800.6,761.5
695.0,786.9,801.6,762.5
695.0,787.9,801.6,761.5
693.1,784.9,799.6,759.5
693.1,783.0,800.6,761.5
694.0,787.9,801.6,761.5
692.1,784.9,800.6,762.5
693.1,781.0,798.6,762.5
690.1,782.0,800.6,760.5
693.1,784.0,800.6,762.5
695.0,788.9,802.5,762.5
694.0,788.9,802.5,760.5
692.1,786.9,800.6,760.5
694.0,787.9,802.5,761.5
694.0,786.9,802.5,762.5
693.1,786.9,801.6,762.5
694.0,790.8,802.5,761.5
694.0,790.8,803.5,761.5
692.1,786.9,805.5,762.5
693.1,786.9,801.6,761.5
694.0,787.9,803.5,758.6
693.1,789.8,801.6,760.5
692.1,786.9,802.5,761.5
693.1,785.9,800.6,762.5
692.1,785.9,802.5,762.5
694.0,787.9,799.6,759.5
694.0,786.9,802.5,761.5
695.0,786.9,802.5,761.5
694.0,789.8,803.5,761.5
694.0,785.9,800.6,760.5
693.1,784.0,802.5,761.5
692.1,786.9,803.5,761.5
693.1,786.9,801.6,761.5
695.0,784.9,798.6,762.5
694.0,785.9,801.6,761.5
693.1,790.8,801.6,760.5
692.1,785.9,800.6,759.5
694.0,785.9,798.6,759.5
693.1,787.9,803.5,761.5
693.1,787.9,803.5,760.5
693.1,785.9,801.6,760.5
692.1,786.9,802.5,761.5
694.0,790.8,803.5,761.5
693.1,786.9,805.5,763.4
691.1,784.9,800.6,761.5
693.1,785.9,801.6,760.5
689.1,786.9,800.6,760.5
694.0,786.9,801.6,760.5
692.1,783.0,801.6,758.6
693.1,784.9,796.7,762.5
693.1,781.0,798.6,762.5
693.1,784.9,798.6,762.5
693.1,783.0,799.6,761.5
692.1,785.9,803.5,760.5
693.1,784.9,801.6,758.6
691.1,783.0,801.6,760.5
694.0,785.9,799.6,761.5
696.0,789.8,801.6,762.5
697.0,787.9,802.5,762.5
694.0,786.9,801.6,760.5
693.1,786.9,801.6,759.5
694.0,786.9,801.6,762.5
693.1,786.9,801.6,760.5
695.0,785.9,801.6,760.5
693.1,785.9,801.6,760.5
690.1,783.0,800.6,760.5
690.1,784.9,801.6,760.5
695.0,784.0,803.5,763.4
694.0,787.9,802.5,761.5
695.0,787.9,803.5,761.5
691.1,783.0,801.6,761.5
692.1,782.0,797.7,757.6
693.1,784.9,800.6,760.5
692.1,784.0,798.6,758.6
694.0,784.9,799.6,760.5
694.0,785.9,801.6,761.5
692.1,786.9,802.5,761.5
692.1,784.0,802.5,761.5
693.1,783.0,799.6,762.5
692.1,784.9,799.6,760.5
693.1,784.9,798.6,762.5
693.1,784.0,801.6,762.5
693.1,784.0,798.6,761.5
693.1,784.0,800.6,761.5
690.1,785.9,800.6,761.5
692.1,783.0,796.7,760.5
692.1,785.9,802.5,761.5
694.0,784.0,796.7,761.5
690.1,782.0,798.6,761.5
693.1,783.0,798.6,761.5
692.1,784.9,802.5,761.5
692.1,785.9,801.6,759.5
692.1,781.0,801.6,762.5
692.1,784.0,798.6,761.5
692.1,784.0,801.6,760.5
693.1,784.0,800.6,760.5
691.1,784.0,802.5,762.5
692.1,783.0,802.5,761.5
692.1,784.0,801.6,761.5
692.1,785.9,801.6,762.5
692.1,784.0,801.6,761.5
692.1,784.0,799.6,760.5
692.1,784.9,800.6,759.5
691.1,784.9,801.6,760.5
691.1,784.9,801.6,757.6
692.1,784.9,799.6,759.5
688.2,785.9,802.5,761.5
693.1,784.0,801.6,760.5
692.1,784.0,800.6,760.5
691.1,784.9,801.6,761.5
697.0,785.9,802.5,761.5
691.1,783.0,801.6,761.5
694.0,785.9,802.5,761.5
692.1,784.0,798.6,758.6
689.1,784.0,801.6,760.5
692.1,781.0,800.6,761.5
692.1,784.0,801.6,761.5
692.1,784.0,800.6,760.5
693.1,784.9,801.6,757.6
692.1,784.0,801.6,759.5
693.1,784.0,800.6,758.6
693.1,785.9,801.6,761.5
693.1,781.0,798.6,758.6
692.1,784.0,800.6,759.5
694.0,784.9,802.5,759.5
695.0,785.9,801.6,757.6
694.0,784.9,798.6,758.6
695.0,783.0,801.6,761.5
692.1,782.0,801.6,760.5
694.0,784.9,801.6,761.5
692.1,783.0,800.6,759.5
692.1,782.0,797.7,759.5
692.1,782.0,801.6,761.5
693.1,783.0,801.6,761.5
691.1,784.0,799.6,760.5
694.0,786.9,801.6,760.5
693.1,787.9,800.6,758.6
691.1,786.9,800.6,761.5
691.1,785.9,803.5,759.5
692.1,786.9,804.5,759.5
693.1,786.9,804.5,761.5
693.1,784.9,797.7,760.5
694.0,782.0,802.5,762.5
695.0,785.9,803.5,759.5
694.0,783.0,804.5,761.5
693.1,784.0,802.5,761.5
695.0,784.9,804.5,761.5
696.0,786.9,803.5,761.5
692.1,783.0,801.6,761.5
694.0,785.9,800.6,761.5
690.1,784.9,801.6,761.5
694.0,785.9,801.6,761.5
694.0,784.9,801.6,761.5
693.1,784.9,801.6,761.5
693.1,785.9,800.6,760.5
694.0,784.9,801.6,761.5
693.1,784.9,800.6,762.5
694.0,786.9,797.7,763.4
694.0,787.9,801.6,761.5
693.1,783.0,799.6,761.5
693.1,784.9,801.6,760.5
691.1,786.9,801.6,763.4
693.1,784.9,800.6,760.5
692.1,784.0,800.6,761.5
692.1,784.9,801.6,759.5
693.1,786.9,800.6,761.5
693.1,784.9,801.6,761.5
692.1,784.9,801.6,763.4
692.1,784.0,800.6,758.6
692.1,784.9,800.6,760.5
695.0,784.0,798.6,761.5
693.1,785.9,802.5,757.6
693.1,784.9,802.5,761.5
691.1,782.0,798.6,759.5
692.1,784.0,800.6,761.5
692.1,784.9,800.6,760.5
692.1,785.9,801.6,761.5
692.1,784.0,800.6,760.5
694.0,786.9,800.6,761.5
694.0,789.8,803.5,761.5
691.1,784.9,801.6,759.5
691.1,784.9,799.6,761.5
694.0,786.9,801.6,760.5
691.1,788.9,801.6,761.5
692.1,784.0,802.5,761.5
692.1,786.9,802.5,760.5
694.0,787.9,801.6,760.5
690.1,786.9,801.6,759.5
693.1,784.0,802.5,758.6
692.1,786.9,801.6,762.5
693.1,785.9,800.6,760.5
691.1,783.0,801.6,761.5
692.1,784.9,800.6,758.6
693.1,785.9,801.6,761.5
691.1,784.9,800.6,762.5
692.1,784.9,799.6,760.5
694.0,784.9,800.6,759.5
692.1,784.0,801.6,760.5
692.1,784.9,801.6,757.6
690.1,784.9,801.6,760.5
692.1,784.0,799.6,760.5
693.1,786.9,802.5,761.5
694.0,785.9,797.7,759.5
693.1,781.0,800.6,759.5
691.1,787.9,802.5,762.5
693.1,786.9,801.6,760.5
696.0,785.9,800.6,760.5
693.1,784.9,801.6,760.5
695.0,787.9,801.6,762.5
694.0,784.0,800.6,761.5
692.1,784.9,800.6,759.5
693.1,784.0,803.5,762.5
692.1,784.0,803.5,761.5
692.1,784.9,801.6,759.5
692.1,784.9,800.6,760.5
695.0,786.9,801.6,761.5
693.1,786.9,802.5,761.5
693.1,784.9,802.5,761.5
692.1,784.9,801.6,761.5
694.0,785.9,801.6,761.5
693.1,786.9,802.5,761.5
694.0,784.9,800.6,760.5
694.0,784.9,802.5,761.5
694.0,787.9,802.5,761.5
695.0,786.9,803.5,761.5
695.0,784.9,804.5,761.5
690.1,783.0,803.5,760.5
