238.5,178.9,329.40000000000003,117.3
236.6,176.9,319.6,120.2
232.6,179.9,322.6,118.3
242.4,181.79999999999998,320.6,135.9
239.5,179.9,320.6,116.3
235.6,177.9,321.6,119.3
234.6,179.9,324.5,117.3
236.6,179.9,319.6,125.1
235.6,178.9,322.6,121.2
233.6,180.79999999999998,327.5,126.1
236.6,177.9,325.5,127.1
239.5,176.9,327.5,113.4
237.5,177.9,326.5,129.0
238.5,178.9,325.5,120.2
238.5,179.9,322.6,124.10000000000001
236.6,179.9,330.40000000000003,115.3
238.5,181.79999999999998,323.6,112.4
237.5,178.9,330.40000000000003,113.4
239.5,180.79999999999998,334.3,126.1
244.4,178.9,331.4,123.2
